full_path,package,module,type,ats,totals,WDTs
compiler/GHC/CmmToAsm/PIC.hs,GHC,PIC.hs,classes,1,0,0
compiler/GHC/CmmToAsm/PIC.hs,GHC,PIC.hs,instances,1,0,0
compiler/GHC/CmmToAsm/PIC.hs,GHC,PIC.hs,terms,1,0,0
compiler/GHC/Driver/Session.hs,GHC,Session.hs,classes,1,4,0
compiler/GHC/Driver/Session.hs,GHC,Session.hs,instances,1,4,0
compiler/GHC/Driver/Session.hs,GHC,Session.hs,terms,1,4,0
compiler/GHC/Driver/Hooks.hs,GHC,Hooks.hs,classes,1,0,1
compiler/GHC/Driver/Hooks.hs,GHC,Hooks.hs,instances,1,0,1
compiler/GHC/Driver/Hooks.hs,GHC,Hooks.hs,terms,1,0,1
compiler/GHC/Parser/PostProcess.hs,GHC,PostProcess.hs,classes,1,0,0
compiler/GHC/Parser/PostProcess.hs,GHC,PostProcess.hs,instances,1,0,0
compiler/GHC/Parser/PostProcess.hs,GHC,PostProcess.hs,terms,1,0,0
compiler/GHC/Types/TyThing.hs,GHC,TyThing.hs,classes,1,1,0
compiler/GHC/Types/TyThing.hs,GHC,TyThing.hs,instances,1,1,0
compiler/GHC/Types/TyThing.hs,GHC,TyThing.hs,terms,1,1,0
compiler/GHC/Types/Unique/Supply.hs,GHC,Supply.hs,classes,1,0,0
compiler/GHC/Types/Unique/Supply.hs,GHC,Supply.hs,instances,1,0,0
compiler/GHC/Types/Unique/Supply.hs,GHC,Supply.hs,terms,1,0,0
compiler/GHC/Utils/Logger.hs,GHC,Logger.hs,classes,1,0,0
compiler/GHC/Utils/Logger.hs,GHC,Logger.hs,instances,1,0,0
compiler/GHC/Utils/Logger.hs,GHC,Logger.hs,terms,1,0,0
compiler/GHC/Unit/Module.hs,GHC,Module.hs,classes,1,0,0
compiler/GHC/Unit/Module.hs,GHC,Module.hs,instances,1,0,0
compiler/GHC/Unit/Module.hs,GHC,Module.hs,terms,1,0,0
compiler/GHC/Driver/Pipeline/Monad.hs,GHC,Monad.hs,classes,0,1,0
compiler/GHC/Driver/Pipeline/Monad.hs,GHC,Monad.hs,instances,0,1,0
compiler/GHC/Driver/Pipeline/Monad.hs,GHC,Monad.hs,terms,0,1,0
compiler/GHC/Driver/Monad.hs,GHC,Monad.hs,classes,0,9,0
compiler/GHC/Driver/Monad.hs,GHC,Monad.hs,instances,0,9,0
compiler/GHC/Driver/Monad.hs,GHC,Monad.hs,terms,0,9,0
compiler/GHC/Hs/Utils.hs,GHC,Utils.hs,classes,0,0,26
compiler/GHC/Hs/Utils.hs,GHC,Utils.hs,instances,0,0,26
compiler/GHC/Hs/Utils.hs,GHC,Utils.hs,terms,0,0,26
compiler/GHC/Hs/Decls.hs,GHC,Decls.hs,classes,1,0,10
compiler/GHC/Hs/Decls.hs,GHC,Decls.hs,instances,1,0,10
compiler/GHC/Hs/Decls.hs,GHC,Decls.hs,terms,1,0,10
compiler/GHC/Hs/Binds.hs,GHC,Binds.hs,classes,2,0,2
compiler/GHC/Hs/Binds.hs,GHC,Binds.hs,instances,2,0,2
compiler/GHC/Hs/Binds.hs,GHC,Binds.hs,terms,2,0,2
compiler/GHC/Driver/CmdLine.hs,GHC,CmdLine.hs,classes,0,1,0
compiler/GHC/Driver/CmdLine.hs,GHC,CmdLine.hs,instances,0,1,0
compiler/GHC/Driver/CmdLine.hs,GHC,CmdLine.hs,terms,0,1,0
compiler/GHC/Data/TrieMap.hs,GHC,TrieMap.hs,classes,3,10,3
compiler/GHC/Data/TrieMap.hs,GHC,TrieMap.hs,instances,3,10,3
compiler/GHC/Data/TrieMap.hs,GHC,TrieMap.hs,terms,3,10,3
compiler/GHC/Data/Stream.hs,GHC,Stream.hs,classes,2,4,0
compiler/GHC/Data/Stream.hs,GHC,Stream.hs,instances,2,4,0
compiler/GHC/Data/Stream.hs,GHC,Stream.hs,terms,2,4,0
compiler/GHC/Cmm/Dataflow/Graph.hs,GHC,Graph.hs,classes,0,1,0
compiler/GHC/Cmm/Dataflow/Graph.hs,GHC,Graph.hs,instances,0,1,0
compiler/GHC/Cmm/Dataflow/Graph.hs,GHC,Graph.hs,terms,0,1,0
compiler/GHC/Iface/Ext/Ast.hs,GHC,Ast.hs,classes,0,2,19
compiler/GHC/Iface/Ext/Ast.hs,GHC,Ast.hs,instances,0,2,19
compiler/GHC/Iface/Ext/Ast.hs,GHC,Ast.hs,terms,0,2,19
compiler/GHC/Parser/Types.hs,GHC,Types.hs,classes,0,0,1
compiler/GHC/Parser/Types.hs,GHC,Types.hs,instances,0,0,1
compiler/GHC/Parser/Types.hs,GHC,Types.hs,terms,0,0,1
compiler/GHC/Hs/Expr.hs,GHC,Expr.hs,classes,0,0,31
compiler/GHC/Hs/Expr.hs,GHC,Expr.hs,instances,0,0,31
compiler/GHC/Hs/Expr.hs,GHC,Expr.hs,terms,0,0,31
compiler/GHC/Hs/Pat.hs,GHC,Pat.hs,classes,0,0,3
compiler/GHC/Hs/Pat.hs,GHC,Pat.hs,instances,0,0,3
compiler/GHC/Hs/Pat.hs,GHC,Pat.hs,terms,0,0,3
compiler/GHC/Hs/Lit.hs,GHC,Lit.hs,classes,0,0,1
compiler/GHC/Hs/Lit.hs,GHC,Lit.hs,instances,0,0,1
compiler/GHC/Hs/Lit.hs,GHC,Lit.hs,terms,0,0,1
compiler/GHC/Hs/Type.hs,GHC,Type.hs,classes,0,0,11
compiler/GHC/Hs/Type.hs,GHC,Type.hs,instances,0,0,11
compiler/GHC/Hs/Type.hs,GHC,Type.hs,terms,0,0,11
compiler/GHC/Tc/Gen/Head.hs,GHC,Head.hs,classes,0,0,2
compiler/GHC/Tc/Gen/Head.hs,GHC,Head.hs,instances,0,0,2
compiler/GHC/Tc/Gen/Head.hs,GHC,Head.hs,terms,0,0,2
compiler/GHC/Tc/Utils/Env.hs,GHC,Env.hs,classes,0,1,1
compiler/GHC/Tc/Utils/Env.hs,GHC,Env.hs,instances,0,1,1
compiler/GHC/Tc/Utils/Env.hs,GHC,Env.hs,terms,0,1,1
compiler/GHC/HsToCore/Quote.hs,GHC,Quote.hs,classes,1,1,0
compiler/GHC/HsToCore/Quote.hs,GHC,Quote.hs,instances,1,1,0
compiler/GHC/HsToCore/Quote.hs,GHC,Quote.hs,terms,1,1,0
compiler/GHC/Data/Bag.hs,GHC,Bag.hs,classes,3,2,0
compiler/GHC/Data/Bag.hs,GHC,Bag.hs,instances,3,2,0
compiler/GHC/Data/Bag.hs,GHC,Bag.hs,terms,3,2,0
compiler/GHC/StgToCmm/Foreign.hs,GHC,Foreign.hs,classes,4,0,0
compiler/GHC/StgToCmm/Foreign.hs,GHC,Foreign.hs,instances,4,0,0
compiler/GHC/StgToCmm/Foreign.hs,GHC,Foreign.hs,terms,4,0,0
compiler/GHC/StgToCmm/Monad.hs,GHC,Monad.hs,classes,1,0,0
compiler/GHC/StgToCmm/Monad.hs,GHC,Monad.hs,instances,1,0,0
compiler/GHC/StgToCmm/Monad.hs,GHC,Monad.hs,terms,1,0,0
compiler/GHC/Types/Id.hs,GHC,Id.hs,classes,2,0,0
compiler/GHC/Types/Id.hs,GHC,Id.hs,instances,2,0,0
compiler/GHC/Types/Id.hs,GHC,Id.hs,terms,2,0,0
compiler/GHC/Utils/Misc.hs,GHC,Misc.hs,classes,1,0,0
compiler/GHC/Utils/Misc.hs,GHC,Misc.hs,instances,1,0,0
compiler/GHC/Utils/Misc.hs,GHC,Misc.hs,terms,1,0,0
compiler/GHC/Cmm/BlockId.hs,GHC,BlockId.hs,classes,1,0,0
compiler/GHC/Cmm/BlockId.hs,GHC,BlockId.hs,instances,1,0,0
compiler/GHC/Cmm/BlockId.hs,GHC,BlockId.hs,terms,1,0,0
compiler/GHC/Iface/Ext/Utils.hs,GHC,Utils.hs,classes,0,5,0
compiler/GHC/Iface/Ext/Utils.hs,GHC,Utils.hs,instances,0,5,0
compiler/GHC/Iface/Ext/Utils.hs,GHC,Utils.hs,terms,0,5,0
compiler/GHC/CmmToAsm/Reg/Liveness.hs,GHC,Liveness.hs,classes,0,3,0
compiler/GHC/CmmToAsm/Reg/Liveness.hs,GHC,Liveness.hs,instances,0,3,0
compiler/GHC/CmmToAsm/Reg/Liveness.hs,GHC,Liveness.hs,terms,0,3,0
compiler/GHC/HsToCore/Pmc/Solver.hs,GHC,Solver.hs,classes,0,3,0
compiler/GHC/HsToCore/Pmc/Solver.hs,GHC,Solver.hs,instances,0,3,0
compiler/GHC/HsToCore/Pmc/Solver.hs,GHC,Solver.hs,terms,0,3,0
compiler/GHC/HsToCore/Docs.hs,GHC,Docs.hs,classes,0,1,1
compiler/GHC/HsToCore/Docs.hs,GHC,Docs.hs,instances,0,1,1
compiler/GHC/HsToCore/Docs.hs,GHC,Docs.hs,terms,0,1,1
compiler/GHC/HsToCore/Monad.hs,GHC,Monad.hs,classes,0,1,0
compiler/GHC/HsToCore/Monad.hs,GHC,Monad.hs,instances,0,1,0
compiler/GHC/HsToCore/Monad.hs,GHC,Monad.hs,terms,0,1,0
compiler/GHC/Hs/Dump.hs,GHC,Dump.hs,classes,0,4,0
compiler/GHC/Hs/Dump.hs,GHC,Dump.hs,instances,0,4,0
compiler/GHC/Hs/Dump.hs,GHC,Dump.hs,terms,0,4,0
compiler/GHC/Tc/Types/EvTerm.hs,GHC,EvTerm.hs,classes,0,1,0
compiler/GHC/Tc/Types/EvTerm.hs,GHC,EvTerm.hs,instances,0,1,0
compiler/GHC/Tc/Types/EvTerm.hs,GHC,EvTerm.hs,terms,0,1,0
compiler/GHC/Runtime/Interpreter.hs,GHC,Interpreter.hs,classes,0,2,0
compiler/GHC/Runtime/Interpreter.hs,GHC,Interpreter.hs,instances,0,2,0
compiler/GHC/Runtime/Interpreter.hs,GHC,Interpreter.hs,terms,0,2,0
compiler/GHC/Runtime/Heap/Inspect.hs,GHC,Inspect.hs,classes,0,3,0
compiler/GHC/Runtime/Heap/Inspect.hs,GHC,Inspect.hs,instances,0,3,0
compiler/GHC/Runtime/Heap/Inspect.hs,GHC,Inspect.hs,terms,0,3,0
compiler/GHC/Core/Type.hs,GHC,Type.hs,classes,0,2,0
compiler/GHC/Core/Type.hs,GHC,Type.hs,instances,0,2,0
compiler/GHC/Core/Type.hs,GHC,Type.hs,terms,0,2,0
compiler/GHC/Core/Make.hs,GHC,Make.hs,classes,0,1,0
compiler/GHC/Core/Make.hs,GHC,Make.hs,instances,0,1,0
compiler/GHC/Core/Make.hs,GHC,Make.hs,terms,0,1,0
compiler/GHC/Utils/Error.hs,GHC,Error.hs,classes,0,2,0
compiler/GHC/Utils/Error.hs,GHC,Error.hs,instances,0,2,0
compiler/GHC/Utils/Error.hs,GHC,Error.hs,terms,0,2,0
compiler/GHC/Utils/Panic.hs,GHC,Panic.hs,classes,0,1,0
compiler/GHC/Utils/Panic.hs,GHC,Panic.hs,instances,0,1,0
compiler/GHC/Utils/Panic.hs,GHC,Panic.hs,terms,0,1,0
compiler/GHC/Utils/Monad.hs,GHC,Monad.hs,classes,0,6,0
compiler/GHC/Utils/Monad.hs,GHC,Monad.hs,instances,0,6,0
compiler/GHC/Utils/Monad.hs,GHC,Monad.hs,terms,0,6,0
compiler/GHC/Stg/Subst.hs,GHC,Subst.hs,classes,0,1,0
compiler/GHC/Stg/Subst.hs,GHC,Subst.hs,instances,0,1,0
compiler/GHC/Stg/Subst.hs,GHC,Subst.hs,terms,0,1,0
compiler/GHC/Stg/Lift/Monad.hs,GHC,Monad.hs,classes,0,2,1
compiler/GHC/Stg/Lift/Monad.hs,GHC,Monad.hs,instances,0,2,1
compiler/GHC/Stg/Lift/Monad.hs,GHC,Monad.hs,terms,0,2,1
compiler/GHC/Cmm/Dataflow/Block.hs,GHC,Block.hs,classes,0,16,0
compiler/GHC/Cmm/Dataflow/Block.hs,GHC,Block.hs,instances,0,16,0
compiler/GHC/Cmm/Dataflow/Block.hs,GHC,Block.hs,terms,0,16,0
compiler/GHC/Cmm/Dataflow.hs,GHC,Dataflow.hs,classes,0,2,0
compiler/GHC/Cmm/Dataflow.hs,GHC,Dataflow.hs,instances,0,2,0
compiler/GHC/Cmm/Dataflow.hs,GHC,Dataflow.hs,terms,0,2,0
compiler/GHC/ByteCode/Instr.hs,GHC,Instr.hs,classes,0,0,4
compiler/GHC/ByteCode/Instr.hs,GHC,Instr.hs,instances,0,0,4
compiler/GHC/ByteCode/Instr.hs,GHC,Instr.hs,terms,0,0,4
compiler/GHC/Tc/Gen/Match.hs,GHC,Match.hs,classes,0,0,4
compiler/GHC/Tc/Gen/Match.hs,GHC,Match.hs,instances,0,0,4
compiler/GHC/Tc/Gen/Match.hs,GHC,Match.hs,terms,0,0,4
compiler/GHC/Tc/Gen/Bind.hs,GHC,Bind.hs,classes,0,0,1
compiler/GHC/Tc/Gen/Bind.hs,GHC,Bind.hs,instances,0,0,1
compiler/GHC/Tc/Gen/Bind.hs,GHC,Bind.hs,terms,0,0,1
compiler/GHC/Tc/Gen/Annotation.hs,GHC,Annotation.hs,classes,0,0,1
compiler/GHC/Tc/Gen/Annotation.hs,GHC,Annotation.hs,instances,0,0,1
compiler/GHC/Tc/Gen/Annotation.hs,GHC,Annotation.hs,terms,0,0,1
compiler/GHC/Tc/Utils/Zonk.hs,GHC,Zonk.hs,classes,0,0,1
compiler/GHC/Tc/Utils/Zonk.hs,GHC,Zonk.hs,instances,0,0,1
compiler/GHC/Tc/Utils/Zonk.hs,GHC,Zonk.hs,terms,0,0,1
compiler/GHC/Rename/Expr.hs,GHC,Expr.hs,classes,0,0,4
compiler/GHC/Rename/Expr.hs,GHC,Expr.hs,instances,0,0,4
compiler/GHC/Rename/Expr.hs,GHC,Expr.hs,terms,0,0,4
compiler/GHC/Rename/Bind.hs,GHC,Bind.hs,classes,0,0,4
compiler/GHC/Rename/Bind.hs,GHC,Bind.hs,instances,0,0,4
compiler/GHC/Rename/Bind.hs,GHC,Bind.hs,terms,0,0,4
compiler/GHC/Rename/Module.hs,GHC,Module.hs,classes,0,0,1
compiler/GHC/Rename/Module.hs,GHC,Module.hs,instances,0,0,1
compiler/GHC/Rename/Module.hs,GHC,Module.hs,terms,0,0,1
compiler/GHC/Stg/Syntax.hs,GHC,Syntax.hs,classes,0,0,5
compiler/GHC/Stg/Syntax.hs,GHC,Syntax.hs,instances,0,0,5
compiler/GHC/Stg/Syntax.hs,GHC,Syntax.hs,terms,0,0,5
compiler/GHC/Stg/Lint.hs,GHC,Lint.hs,classes,0,0,1
compiler/GHC/Stg/Lint.hs,GHC,Lint.hs,instances,0,0,1
compiler/GHC/Stg/Lint.hs,GHC,Lint.hs,terms,0,0,1
compiler/GHC/Stg/Unarise.hs,GHC,Unarise.hs,classes,0,0,2
compiler/GHC/Stg/Unarise.hs,GHC,Unarise.hs,instances,0,0,2
compiler/GHC/Stg/Unarise.hs,GHC,Unarise.hs,terms,0,0,2
compiler/GHC/Cmm/Ppr.hs,GHC,Ppr.hs,classes,0,0,1
compiler/GHC/Cmm/Ppr.hs,GHC,Ppr.hs,instances,0,0,1
compiler/GHC/Cmm/Ppr.hs,GHC,Ppr.hs,terms,0,0,1
libraries/ghc-prim/GHC/Types.hs,ghc-prim,Types.hs,classes,2,0,0
libraries/ghc-prim/GHC/Types.hs,ghc-prim,Types.hs,instances,2,0,0
libraries/ghc-prim/GHC/Types.hs,ghc-prim,Types.hs,terms,2,0,0
libraries/haskeline/System/Console/Haskeline/Monads.hs,haskeline,Monads.hs,classes,1,4,0
libraries/haskeline/System/Console/Haskeline/Monads.hs,haskeline,Monads.hs,instances,1,4,0
libraries/haskeline/System/Console/Haskeline/Monads.hs,haskeline,Monads.hs,terms,1,4,0
libraries/haskeline/System/Console/Haskeline/Term.hs,haskeline,Term.hs,classes,1,2,0
libraries/haskeline/System/Console/Haskeline/Term.hs,haskeline,Term.hs,instances,1,2,0
libraries/haskeline/System/Console/Haskeline/Term.hs,haskeline,Term.hs,terms,1,2,0
libraries/mtl/Control/Monad/Reader/Class.hs,mtl,Class.hs,classes,1,13,0
libraries/mtl/Control/Monad/Reader/Class.hs,mtl,Class.hs,instances,1,13,0
libraries/mtl/Control/Monad/Reader/Class.hs,mtl,Class.hs,terms,1,13,0
libraries/array/Data/Array/Base.hs,array,Base.hs,classes,3,5,0
libraries/array/Data/Array/Base.hs,array,Base.hs,instances,3,5,0
libraries/array/Data/Array/Base.hs,array,Base.hs,terms,3,5,0
libraries/template-haskell/Language/Haskell/TH/Syntax.hs,template-haskell,Syntax.hs,classes,0,1,0
libraries/template-haskell/Language/Haskell/TH/Syntax.hs,template-haskell,Syntax.hs,instances,0,1,0
libraries/template-haskell/Language/Haskell/TH/Syntax.hs,template-haskell,Syntax.hs,terms,0,1,0
libraries/base/Control/Arrow.hs,base,Arrow.hs,classes,0,11,0
libraries/base/Control/Arrow.hs,base,Arrow.hs,instances,0,11,0
libraries/base/Control/Arrow.hs,base,Arrow.hs,terms,0,11,0
libraries/base/Control/Category.hs,base,Category.hs,classes,0,1,0
libraries/base/Control/Category.hs,base,Category.hs,instances,0,1,0
libraries/base/Control/Category.hs,base,Category.hs,terms,0,1,0
libraries/Cabal/Cabal/src/Distribution/Parsec.hs,Cabal,Parsec.hs,classes,0,1,0
libraries/Cabal/Cabal/src/Distribution/Parsec.hs,Cabal,Parsec.hs,instances,0,1,0
libraries/Cabal/Cabal/src/Distribution/Parsec.hs,Cabal,Parsec.hs,terms,0,1,0
libraries/Cabal/Cabal/src/Distribution/Compat/Semigroup.hs,Cabal,Semigroup.hs,classes,0,4,0
libraries/Cabal/Cabal/src/Distribution/Compat/Semigroup.hs,Cabal,Semigroup.hs,instances,0,4,0
libraries/Cabal/Cabal/src/Distribution/Compat/Semigroup.hs,Cabal,Semigroup.hs,terms,0,4,0
libraries/time/lib/Data/Format.hs,time,Format.hs,classes,0,1,0
libraries/time/lib/Data/Format.hs,time,Format.hs,instances,0,1,0
libraries/time/lib/Data/Format.hs,time,Format.hs,terms,0,1,0
libraries/Cabal/Cabal/src/Distribution/Compat/Graph.hs,Cabal,Graph.hs,classes,0,0,1
libraries/Cabal/Cabal/src/Distribution/Compat/Graph.hs,Cabal,Graph.hs,instances,0,0,1
libraries/Cabal/Cabal/src/Distribution/Compat/Graph.hs,Cabal,Graph.hs,terms,0,0,1
libraries/transformers/Control/Monad/Trans/Writer/Lazy.hs,transformers,Lazy.hs,classes,7,9,0
libraries/transformers/Control/Monad/Trans/Writer/Lazy.hs,transformers,Lazy.hs,instances,7,9,0
libraries/transformers/Control/Monad/Trans/Writer/Lazy.hs,transformers,Lazy.hs,terms,7,9,0
libraries/transformers/Control/Monad/Trans/Writer/Strict.hs,transformers,Strict.hs,classes,7,9,0
libraries/transformers/Control/Monad/Trans/Writer/Strict.hs,transformers,Strict.hs,instances,7,9,0
libraries/transformers/Control/Monad/Trans/Writer/Strict.hs,transformers,Strict.hs,terms,7,9,0
libraries/mtl/Control/Monad/Cont/Class.hs,mtl,Class.hs,classes,1,12,0
libraries/mtl/Control/Monad/Cont/Class.hs,mtl,Class.hs,instances,1,12,0
libraries/mtl/Control/Monad/Cont/Class.hs,mtl,Class.hs,terms,1,12,0
libraries/base/Control/Monad/Fix.hs,base,Fix.hs,classes,0,1,0
libraries/base/Control/Monad/Fix.hs,base,Fix.hs,instances,0,1,0
libraries/base/Control/Monad/Fix.hs,base,Fix.hs,terms,0,1,0
libraries/base/Control/Monad/Zip.hs,base,Zip.hs,classes,0,1,0
libraries/base/Control/Monad/Zip.hs,base,Zip.hs,instances,0,1,0
libraries/base/Control/Monad/Zip.hs,base,Zip.hs,terms,0,1,0
libraries/base/Control/Applicative.hs,base,Applicative.hs,classes,0,3,0
libraries/base/Control/Applicative.hs,base,Applicative.hs,instances,0,3,0
libraries/base/Control/Applicative.hs,base,Applicative.hs,terms,0,3,0
libraries/base/Data/Functor/Compose.hs,base,Compose.hs,classes,0,14,0
libraries/base/Data/Functor/Compose.hs,base,Compose.hs,instances,0,14,0
libraries/base/Data/Functor/Compose.hs,base,Compose.hs,terms,0,14,0
libraries/base/Data/Functor/Classes.hs,base,Classes.hs,classes,0,2,0
libraries/base/Data/Functor/Classes.hs,base,Classes.hs,instances,0,2,0
libraries/base/Data/Functor/Classes.hs,base,Classes.hs,terms,0,2,0
libraries/base/Data/Functor/Product.hs,base,Product.hs,classes,0,17,0
libraries/base/Data/Functor/Product.hs,base,Product.hs,instances,0,17,0
libraries/base/Data/Functor/Product.hs,base,Product.hs,terms,0,17,0
libraries/base/Data/Functor/Sum.hs,base,Sum.hs,classes,0,11,0
libraries/base/Data/Functor/Sum.hs,base,Sum.hs,instances,0,11,0
libraries/base/Data/Functor/Sum.hs,base,Sum.hs,terms,0,11,0
libraries/base/Data/Functor/Contravariant.hs,base,Contravariant.hs,classes,1,6,0
libraries/base/Data/Functor/Contravariant.hs,base,Contravariant.hs,instances,1,6,0
libraries/base/Data/Functor/Contravariant.hs,base,Contravariant.hs,terms,1,6,0
libraries/base/GHC/Generics.hs,base,Generics.hs,classes,0,9,0
libraries/base/GHC/Generics.hs,base,Generics.hs,instances,0,9,0
libraries/base/GHC/Generics.hs,base,Generics.hs,terms,0,9,0
libraries/transformers/Control/Applicative/Lift.hs,transformers,Lift.hs,classes,0,2,0
libraries/transformers/Control/Applicative/Lift.hs,transformers,Lift.hs,instances,0,2,0
libraries/transformers/Control/Applicative/Lift.hs,transformers,Lift.hs,terms,0,2,0
libraries/transformers/Control/Applicative/Backwards.hs,transformers,Backwards.hs,classes,0,14,0
libraries/transformers/Control/Applicative/Backwards.hs,transformers,Backwards.hs,instances,0,14,0
libraries/transformers/Control/Applicative/Backwards.hs,transformers,Backwards.hs,terms,0,14,0
libraries/transformers/Control/Monad/Trans/List.hs,transformers,List.hs,classes,0,9,0
libraries/transformers/Control/Monad/Trans/List.hs,transformers,List.hs,instances,0,9,0
libraries/transformers/Control/Monad/Trans/List.hs,transformers,List.hs,terms,0,9,0
libraries/transformers/Control/Monad/Trans/Maybe.hs,transformers,Maybe.hs,classes,0,2,0
libraries/transformers/Control/Monad/Trans/Maybe.hs,transformers,Maybe.hs,instances,0,2,0
libraries/transformers/Control/Monad/Trans/Maybe.hs,transformers,Maybe.hs,terms,0,2,0
libraries/transformers/Control/Monad/Trans/State/Lazy.hs,transformers,Lazy.hs,classes,2,2,0
libraries/transformers/Control/Monad/Trans/State/Lazy.hs,transformers,Lazy.hs,instances,2,2,0
libraries/transformers/Control/Monad/Trans/State/Lazy.hs,transformers,Lazy.hs,terms,2,2,0
libraries/transformers/Control/Monad/Trans/State/Strict.hs,transformers,Strict.hs,classes,0,2,0
libraries/transformers/Control/Monad/Trans/State/Strict.hs,transformers,Strict.hs,instances,0,2,0
libraries/transformers/Control/Monad/Trans/State/Strict.hs,transformers,Strict.hs,terms,0,2,0
libraries/transformers/Control/Monad/Trans/Writer/CPS.hs,transformers,CPS.hs,classes,1,7,0
libraries/transformers/Control/Monad/Trans/Writer/CPS.hs,transformers,CPS.hs,instances,1,7,0
libraries/transformers/Control/Monad/Trans/Writer/CPS.hs,transformers,CPS.hs,terms,1,7,0
libraries/transformers/Control/Monad/Trans/Except.hs,transformers,Except.hs,classes,1,2,0
libraries/transformers/Control/Monad/Trans/Except.hs,transformers,Except.hs,instances,1,2,0
libraries/transformers/Control/Monad/Trans/Except.hs,transformers,Except.hs,terms,1,2,0
libraries/transformers/Control/Monad/Trans/Error.hs,transformers,Error.hs,classes,0,2,0
libraries/transformers/Control/Monad/Trans/Error.hs,transformers,Error.hs,instances,0,2,0
libraries/transformers/Control/Monad/Trans/Error.hs,transformers,Error.hs,terms,0,2,0
libraries/transformers/Control/Monad/Trans/RWS/Lazy.hs,transformers,Lazy.hs,classes,0,7,0
libraries/transformers/Control/Monad/Trans/RWS/Lazy.hs,transformers,Lazy.hs,instances,0,7,0
libraries/transformers/Control/Monad/Trans/RWS/Lazy.hs,transformers,Lazy.hs,terms,0,7,0
libraries/transformers/Control/Monad/Trans/RWS/CPS.hs,transformers,CPS.hs,classes,0,7,0
libraries/transformers/Control/Monad/Trans/RWS/CPS.hs,transformers,CPS.hs,instances,0,7,0
libraries/transformers/Control/Monad/Trans/RWS/CPS.hs,transformers,CPS.hs,terms,0,7,0
libraries/transformers/Control/Monad/Trans/RWS/Strict.hs,transformers,Strict.hs,classes,0,7,0
